drug_name,gene_name
CHLORAMPHENICOL SODIUM SUCCINATE,RPSA
AV-101,GRIN3A
CHEMBL:CHEMBL502775,GAPDH
LETROZOLE,CDKN2A
PEMBROLIZUMAB,JAK1
CHEMBL:CHEMBL1927670,MAOB
BRIAKINUMAB,IL23A
ZALUNFIBAN,ITGA2B
ABEMACICLIB,CDKN2A
MELPHALAN,FANCC
N-ETHYLMALEIMIDE,GMNN
ETHACRYNIC ACID,NFE2L2
CHEMBL:CHEMBL68096,FEN1
SRT2104,SIRT1
SILVER SULFADIAZINE,ALOX15
SERTINDOLE,ALDH2
DACINOSTAT,MSTN
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,EGFR
CYCLOHEXIMIDE,HSP90AA1
GUGGULSTERONE,HSPB1
TICLOPIDINE HYDROCHLORIDE,P2RY12
NILOTINIB,ABL1
ORBIFLOXACIN,AR
CHEMBL:CHEMBL530664,STAT3
G&OUML; 6983,CTAA1
XANOMELINE,A2MP1
SELURAMPANEL,GRIA3
E4031,CYP2D6
CHEMBL:CHEMBL578675,NFE2L2
OLAPARIB,BRCA1
DOXACURIUM CHLORIDE,CHRM2
PLOZALIZUMAB,CCR2
URACIL,DPYD
RESERPINE,MAPT
LORAZEPAM,APOE
CILASTATIN,DPEP1
APOMORPHINE,ABL2
CHEMBL:CHEMBL1287983,FEN1
MOFAROTENE,RXRG
2-(2'-METHOXYPHENYL)-1H-INDOLE,SMN2
PANOBINOSTAT,HDAC8
AZD8835,F5
METHOTRIMEPRAZINE,DRD3
CLOZAPINE,DRD2
CERITINIB,INSR
VORICONAZOLE,RELA
ANGIOGENESIS INHIBITOR,CCL21
PENTOXIFYLLINE,GFAP
PEXIDARTINIB HYDROCHLORIDE,CSF1R
S-49076,FGFR2
MASITINIB,PTK2B
"5,7-DICHLOROKYNURENIC ACID",HPGD
MESTANOLONE,AR
CHEMBL:CHEMBL1341830,FEN1
FLURAZEPAM,GABRG3
ANTI-CD40 MONOCLONAL ANTIBODY CHI LOB 7/4,CD40LG
UROFOLLITROPIN,FSHR
PROTOKYLOL HYDROCHLORIDE,ADRB1
DECAMETHONIUM,ARSA
XYLAZINE,AOC1
[125I]SAUVAGINE (FROG),ALB
CYPROHEPTADINE HYDROCHLORIDE,ABCA4
PHENYLEPHRINE,PIK3CG
GUGGULSTERONE,AR
RETINOIC ACID AGENT,CYP27A1
ANTIDEPRESSANT AGENT,GDNF
SULPIRIDE,DRD2
PARTHENOLIDE,NFKB1
CHLORMEZANONE,TSPO
N(6)-CYCLOHEXYLADENOSINE,ABCA1
CELECOXIB,CA9
DRONEDARONE HYDROCHLORIDE,SCN7A
ALTANSERIN,HPGD
FR122047,CPT1B
SELUMETINIB,MAP2K1
ASPIRIN,TBXAS1
PERICIAZINE,ADRA1D
CRIZOTINIB,ALK
GO-6976,TYK2
ORANTINIB,KDR
FLUOROURACIL,KEAP1
E324,CYP1A2
NITROXOLINE,PPARD
DIMETHYLFORMAMIDE,RXRA
AMBUNOL,HPGD
ANTICONVULSANT AGENT,ABCB1
VOXTALISIB,PIK3C3
INAVOLISIB,FGFR2
GR 196429,ANK3
DIHYDROSPHINGOSINE,IL6
CHEMBL:CHEMBL408850,TP53
CLOFAZIMINE,CYP2D6
CHEMBL:CHEMBL379975,PAK4
FILOREXANT,APBB1
NAVITOCLAX,PIK3CA
AMITRIPTYLINE HYDROCHLORIDE,DRD1
CHEMBL:CHEMBL101510,CYP2D6
IMATINIB,PDGFRB
NILOTINIB,ABL1
CLINDAMYCIN,RPSA
AROTINOID ACID,USP1
RESERPINE,GMNN
LY-2090314,PRKAA1
ORPHENADRINE HYDROCHLORIDE,SCN7A
IDARUBICIN,NQO1
PD-0166285,FGFR1
FLUOROURACIL,ALCAM
ACETAZOLAMIDE,CA2
CXCL12-(1-17),ACTG1
TARIQUIDAR,ABCB1
CARBENOXOLONE,C9
CEFOXITIN SODIUM,POLB
CHEMBL:CHEMBL408563,SMN1
LEVOFLOXACIN ANHYDROUS,IL6
DCG-IV,SLC25A4
MARIMASTAT,DCC
INDOCYANINE GREEN ACID FORM,KAT2A
VAPITADINE,HRH1
METIPRANOLOL,ADRB1
GSK-690693,PRKCG
DOMPERIDONE,DRD2
DINOPROST TROMETHAMINE,PTGIR
AFT-II,BBS1
VORINOSTAT,TUBA4A
ADEFOVIR DIPIVOXIL,NFE2L2
FLUOROURACIL,ABCG1
CYC-116,CDC7
PHENYTOIN SODIUM,MTHFR
ESZOPICLONE,TSPO
VACCINE,PTPRC
ZK-93423,GABRA1
MELATONIN,IL1B
LABETALOL,ADRA1A
DALCETRAPIB,HPGD
MERCAPTOPURINE,HPRT1
DACTOLISIB,PTEN
CHEMBL:CHEMBL579837,MAPT
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,AR
"INSULIN, REGULAR, HUMAN",EDN1
VINCRISTINE SULFATE,TUBB4B
HEAT (BE2254),ABCB7
HYDROCORTISONE SODIUM PHOSPHATE,NR3C1
QUAZEPAM,GABRA1
PF-562271,PTK2
GEDATOLISIB,PIK3CD
NMRA-140,APOF
TETRACYCLINE,HSP90AA1
CHEMBL:CHEMBL328710,MAPT
MONOCILLIN I,HSP90AA1
PYRAZINAMIDE,CYP1A2
TASELISIB,PIK3CA
CHEMBL:CHEMBL541585,EHMT2
BAFETINIB,ABL1
EXEMESTANE,ESR1
GW441756X,FLT4
RUCAPARIB,PALB2
TOLFENAMIC ACID,PLA2G1B
IPH-2101,KIR2DL2
CHEMBL:CHEMBL600694,GMNN
MURAGLITAZAR,PPARA
ALACIZUMAB PEGOL,KDR
RISANKIZUMAB,IL12B
M4205,DPP6
ALVOCIDIB,CCND1
ESTROGEN,ESR1
DIHYDROERGOTAMINE MESYLATE,A2M
APOMORPHINE,ALDH2
PARICALCITOL,VDR
TANNIC ACID,APEX1
RITUXIMAB,ERBB2
POTASSIUM DICHROMATE,APEX1
DOLUTEGRAVIR SODIUM,ERVW-4
XL228,FGFR2
DOXYCYCLINE ANHYDROUS,ESR1
ZOPICLONE,GABRA1
QUINIDINE SULFATE,SCN9A
CHEMBL:CHEMBL1388908,HPGD
BENZTROPINE,COMT
MRS2179,APBB2
MEQUITAZINE,HRH1
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",ACAT1
DACTOLISIB,MTOR
NINTEDANIB ESYLATE,FGFR2
TAK-733,MAP2K2
METHYLTHIONINIUM CHLORIDE,CASP6
FERULIC ACID,CA2
DF3016A,ACACB
MECHLORETHAMINE HYDROCHLORIDE,TP53
DEFACTINIB,PTK2
NERATINIB MALEATE,EGFR
AT-7519,CDK4
DACINOSTAT,GART
RGB-286638,CDK1
INTERFERON ALFA,IFNAR1
NIACIN,NNMT
ZALIFRELIMAB,CD274
CHEMBL:CHEMBL258465,HSD17B10
CHEMBL:CHEMBL299853,EHMT2
GLESATINIB,FLT4
FLUFENAMIC ACID,HIF1A
TIVOZANIB,DRD2
FRESOLIMUMAB,TGFB2
ASP4058,AMY2A
PICTILISIB,MAPK8
HUMAN GIP(3-42)NH2,ALPI
BELINOSTAT,MSTN
ASPIRIN,NAT2
CHEMBL:CHEMBL1256835,CYP2D6
ELTOPRAZINE,HTR2C
METHYLPARABEN,NFE2L2
SEMAGACESTAT,PSENEN
CHEMBL:CHEMBL483633,NPC1
CHEMBL:CHEMBL586061,NFE2L2
DEHYDRATED ALCOHOL,F2R
TRETINOIN,FAS
IDAZOXAN,ABL1
ISAM-140,ABCA2
(+/-)-ERIODICTYOL,ALPL
NEOCEPTIN-3,GRIA1
TOPIRAMATE,GRIK1
GEFITINIB,MET
RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN,CP
DOVITINIB,FGFR2
CIDOFOVIR ANHYDROUS,CXCL8
CLOTRIMAZOLE,TP53
GUGGULSTERONE,NFE2L2
REPOTRECTINIB,NTRK1
AZ8838,APOE
AMITRIPTYLINE HYDROCHLORIDE,COMT
NIMESULIDE,MPO
LUMACAFTOR,CFTR
SELUMETINIB,MET
FLUOROMETHOLONE,NR3C1
CP-195543,AMH
CP-195543,AMH
PGN-9856,APOC1
2MESADP,APEX1
VEMURAFENIB,CIC
NEZULCITINIB,JAK1
DILPACIMAB,DLL4
LAMIVUDINE,NME2
APREPITANT,TACR1
MIDOSTAURIN,IL2
TOCAINIDE HYDROCHLORIDE,SCN2A
MK-6913,ESR1
GANITUMAB,IGF1R
NAMINIDIL,KCNJ11
6-AMINOCAPROIC ACID,PLG
[125I][TYR4]GHRELIN (HUMAN),ALOX15
GNE-7883,HP
PHA-767491,CSNK1G3
EPINEPHRINE BITARTRATE,ADRA1D
THYROXINE,IL2RA
IMGATUZUMAB,EGFR
NECA,MAPK1
TANNIC ACID,AR
TESTOSTERONE,MYO9B
CARMINIC ACID,FEN1
SULPIRIDE,ALDH2
CHEMBL:CHEMBL29197,EGFR
MK-6913,ESR1
NOREPINEPHRINE,ABCA4
COMPOUND 47 [PMID: 18800762],CXCR5
"NITROFURANTOIN, MACROCRYSTALS",CYP1A2
ECONAZOLE NITRATE,NR1I2
ANDROSTENEDIONE,NR3C1
PHENDIMETRAZINE,ADRA1A
DOSIMERTINIB,DXO
2MESADP,APEX1
ADP&BETA;S,APBB2
HALOBETASOL,ANXA1
MECLOFENAMATE,ALOX5
CHEMBL:CHEMBL85826,STAT1
TOLUIC ACID,AR
RHAMNETIN,MAPT
SULFONE ANTI-INFECTIVE AGENT,MPO
ADX10059,GRM5
OLANZAPINE,HTR2A
CHEMBL:CHEMBL56393,VDR
NILVADIPINE,AR
ALVOCIDIB,CDK6
BT-11,HGF
DX-2507,FCGRT
LY341495,SLC25A4
DABRAFENIB,TP53
F16357,APOD
CHEMBL:CHEMBL451158,RXRA
EBSELEN,ALB
EMBELIN,ALDH1A1
CIPARGAMIN,ADORA3
CHEMBL:CHEMBL272682,HSD17B10
CHEMBL:CHEMBL429095,HSD17B10
HARMAN,RAD54L
NICOTINE POLACRILEX,CDK4
SF1126,PIK3CG
LAPATINIB,CDKN1B
ZM447439,KDR
DOCEBENONE,ATXN2
ASPIRIN,CHI3L2
GW441756X,CDK5
MK-2461,DR1
VITAMIN B12,MTRR
CHEMBL:CHEMBL589245,EHMT2
LAROTRECTINIB SULFATE,NTRK2
VINBLASTINE SULFATE,ATXN2
CHEMBL:CHEMBL379975,ABL1
"7,8-DIHYDROXYFLAVONE",ALDH1A1
AVAGACESTAT,APH1A
FENFLURAMINE HYDROCHLORIDE,HTR2C
VERUBECESTAT,BACE1
"INSULIN, REGULAR, HUMAN",PIK3CG
DIETHYLSTILBESTROL,E2F1
IBRITUMOMAB TIUXETAN,MS4A1
CHEMBL:CHEMBL299853,CASP3
ASPIRIN,IL4
PHENAZOPYRIDINE HYDROCHLORIDE,AHR
GLESATINIB,FLT4
REFAMETINIB,MAPK3
COMPOUND 18 [PMID: 20873740],EIF4G1
BREXPIPRAZOLE,CYP2D6
MK-571,USP1
ETHACRYNIC ACID,AR
IMATINIB,ABL1
COMPOUND 14 [PMID: 18800762],CXCR5
DOXEPIN HYDROCHLORIDE,SLC6A4
REMTOLUMAB,IL17A
VARENICLINE,CHRNA7
NOREPINEPHRINE,ABCB7
CCL23,ACTA1
ASTERRIC ACID,SAE1
ALISERTIB,ABL1
METHOXYVONE,SMN1
MASOPROCOL,BCL2
NABIXIMOLS,FAAH
BENZQUINAMIDE,CHRM3
TRIAMTERENE,CYP1A2
ALENDRONATE SODIUM,PTPRC
TORIN 2,F7
CDK1/2/4 INHIBITOR AG-024322,CDK1
DOCOSAPENTAENOIC ACID,RGS4
HEXACHLOROPHENE,HSD17B10
RECOMBINANT 70-KD HEAT-SHOCK PROTEIN,AIFM1
ASENAPINE MALEATE,HTR2A
HALCINONIDE,NR3C1
SODIUM CHLORIDE,CHAT
WNY0824,EFNA3
ZM-306416,DRD1
CI-1040,PRKCA
FIRUGLIPEL,ADH1C
CHEMBL:CHEMBL175266,EHMT2
UROKINASE,PLAU
ZINC CHLORIDE,TP53
BUSPIRONE HYDROCHLORIDE,ALDH1A1
IONOMYCIN,PLAU
GPI-1485,FKBP1A
SELUMETINIB,MAP2K1
VANDETANIB,MTOR
TIVANTINIB,MET
APATORSEN,HSPB1
AZD-8186,PIK3CD
VELIPARIB,BRCA2
LUCITANIB,FGFR1
SUNITINIB,HIF1A
RUXOLITINIB,JAK1
R1295,ITGB1
PINOMETOSTAT,KMT2A
DASATINIB ANHYDROUS,NF1
DOCETAXEL ANHYDROUS,STK11
JUGLONE,ALDH1A1
ENDOTHELIN-1,EDNRA
DESLORATADINE,HRH1
BUTOBARBITAL,GRIK2
LEVOBETAXOLOL HYDROCHLORIDE,ADRB1
NIMOTUZUMAB,EGFR
MESALAMINE,PPARG
PERPHENAZINE,CYP1A2
CIPEPOFOL,GABRG3
ADO-TRASTUZUMAB EMTANSINE,TUBA4A
PSB36,ABCA1
VINBLASTINE SULFATE,TUBB4B
ACAMPROSATE CALCIUM,GRIN1
AMANTADINE HYDROCHLORIDE,GRIN2B
ACAMPROSATE CALCIUM,GRIN2A
FELBAMATE,GRIN2B
NAPHAZOLINE HYDROCHLORIDE,ADRA1A
AJMALICINE,ADRA2A
PAZOPANIB,KDR
NIMODIPINE,CACNA1S
NANDROLONE DECANOATE,AR
NADOLOL,ADRB2
GANDOTINIB,JAK2
IMATINIB,PDGFRB
JNJ-7706621,MARK4
CLOMIPRAMINE,DRD3
CI-1040,MAPK1
TOLTERODINE,CHRM2
CHLORDIAZEPOXIDE HYDROCHLORIDE,GABRG3
ALPRAZOLAM,GABRA1
QUAZEPAM,GABRA3
COBIMETINIB,MAP2K2
PAZOPANIB,FLT4
AXITINIB,ABL1
OLAPARIB,BRCA1
DALFOPRISTIN,RPSA
GABAPENTIN ENACARBIL,CACNA1S
GABAPENTIN ENACARBIL,CACNA1A
CHLOROPROCAINE,SCN8A
MEPHENYTOIN,SCN2A
TETRACAINE,SCN9A
TETRACAINE,SCN2A
TOCAINIDE HYDROCHLORIDE,SCN7A
TOCAINIDE HYDROCHLORIDE,SCN9A
NINTEDANIB ESYLATE,FGFR2
SACUBITRIL,MME
OXTRIPHYLLINE,PDE4B
FIMEPINOSTAT,HDAC6
FIMEPINOSTAT,PIK3CA
FIMEPINOSTAT,HDAC8
FIMEPINOSTAT,PIK3CB
FIMEPINOSTAT,HDAC3
DS-7423,MTOR
GSK-690693,PRKACG
GSK-690693,AKT3
PAXALISIB,PIK3R1
BRICICLIB,CCND1
EVENAMIDE,SCN7A
VOXTALISIB,PIK3CD
VOXTALISIB,PIK3CG
UCN-01,PRKCG
VX-702,MAPK14
AZD2516,GRM5
SURINABANT,CNR1
VOFOPITANT,TACR1
SSR180711,CHRNA7
TRAXOPRODIL,GRIN1
NERISPIRDINE,SCN8A
NERISPIRDINE,KCNC4
NERISPIRDINE,SCN2A
OSIMERTINIB,EGFR
VATALANIB,PDGFRB
FOSTAMATINIB,SYK
SARIZOTAN HYDROCHLORIDE,DRD3
ESMIRTAZAPINE MALEATE,HTR2A
TARANABANT,CNR1
ESUBERAPROST,PTGIR
ESMIRTAZAPINE MALEATE,HTR2C
RALFINAMIDE,MAOB
IFERANSERIN,HTR2A
PRIDOPIDINE,DRD2
DICYCLOMINE HYDROCHLORIDE,CHRM3
MARIMASTAT,MMP12
DEXMECAMYLAMINE,CHRNA4
RALFINAMIDE,SCN8A
RALFINAMIDE,SCN2A
FULRANUMAB,NGF
PATRITUMAB,ERBB3
LINTUZUMAB,CD33
LERDELIMUMAB,TGFB2
INTEPIRDINE,HTR6
CROLIBULIN,TUBB4B
TROPIFEXOR,NR1H4
LITRONESIB,KIF11
ERTUMAXOMAB,ERBB2
PERHEXILINE MALEATE,CPT1B
SULOCTIDIL,CACNG4
ZIMELDINE HYDROCHLORIDE,HTR2C
IDRAPARINUX,F10
CLOTHIAPINE,HTR2C
BIVATUZUMAB,CD44
VASOACTIVE INTESTINAL PEPTIDE,ADRA1D
NILVADIPINE,CACNA1S
TETOMILAST,PDE4B
RADEZOLID,RPSA
ACORAMIDIS,TTR
TESOFENSINE,SLC6A4
ZOPICLONE,GABRA1
VOPRATELIMAB,ICOS
CDX-1140,CD40
PRI-724,CTNNB1
CTS-1027,MMP3
VUNAKIZUMAB,IL17A
SOCAZOLIMAB,CD274
IBOCTADEKIN,IL18R1
RESIMMUNE,EEF2
E-7016,PARP1
NEZULCITINIB,JAK2
ABEMACICLIB,CDK4
ABEMACICLIB,CCND3
ROBINETIN,APEX1
RITUXIMAB,ERBB2
ALPELISIB,PIK3R1
PF-04691502,PTEN
NG-25,ELAVL1
NINTEDANIB ESYLATE,FGFR1
EGEN-001,IL12A
RALIMETINIB MESYLATE,MAPK14
&ALPHA;-CONOTOXIN GI,SERPINC1
AFATINIB,EGFR
MYRICETIN,PLK1
TRYPAN BLUE,KMT2A
XANTHONE,HSD17B10
"(R,S)-IFENPRODIL",CYP1A2
CHEMBL:CHEMBL527586,EHMT2
CHEMBL:CHEMBL225257,NFE2L2
ISOBOLDINE,MAPT
CEDIRANIB,SRC
CHEMBL:CHEMBL296021,NFE2L2
MYRICETIN,CASP7
PHENAMIPHOS,PPARG
CHEMBL:CHEMBL2094833,GMNN
CHEMBL:CHEMBL493863,RAD52
GSK9772,NR1H2
HALICLONADIAMINE,HIF1A
GW5074,HPGD
MYRICETIN,ALPL
LIMONIN,AR
CHEMBL:CHEMBL473721,SMN2
INDOLE-3-BUTYRIC ACID,NFE2L2
ANGUIDIN,SMAD3
GW405833,TSHR
OXYPHENBUTAZONE,ATXN2
CLOTRIMAZOLE,CYP1A2
CHEMBL:CHEMBL581194,MAPK1
BIS(DIMETHYLAMINETHIOCARBONYL)MONOSULFIDE,AR
NEVIRAPINE,CYP1A2
METHOXYVONE,SMN2
CAFFEIC ACID,GAA
NICARDIPINE,DRD1
NEVIRAPINE,ABCG2
NIFUROXAZIDE,NFE2L2
CHEMBL:CHEMBL600347,TP53
PYRITHIONE,SMAD3
CHEMBL:CHEMBL313737,VDR
PIRARUBICIN,USP1
IRIGINOL HEXAACEATATE,APEX1
DEHYDROVARIABILIN,MAPT
DECITABINE,DNMT1
SCOULERINE,USP1
APOGOSSYPOL,BCL2L1
PIRSIDOMINE,GC
CHEMBL:CHEMBL299853,SAE1
NABUMETONE,CYP1A2
CHEMBL:CHEMBL259784,ALDH1A1
ALPRAZOLAM,BRD3
ZEARALENONE,ESR1
ZAPRINAST,HPGD
ACIVICIN,AR
ISOVELLERAL,XBP1
DOCEBENONE,EHMT2
NICLOSAMIDE,NPC1
DICUMAROL,ALDH1A1
TRYPAN BLUE,HTT
VOACANGINE,TRPA1
CONGO RED,APEX1
CARMUSTINE,CYP1A2
CRYPTOTANSHINONE,PLK1
NILUTAMIDE,AR
GW441756X,BLK
CHEMBL:CHEMBL119878,PLK1
TENONITROZOLE,NPC1
MITONAFIDE,NFE2L2
CHEMBL:CHEMBL606166,HSD17B10
CHEMBL:CHEMBL299853,GMNN
CHEMBL:CHEMBL86464,ATXN2
PHENYLGLYOXAL,ALDH1A1
BITHIONOLOXIDE,VDR
(R)-&ALPHA;-METHYLHISTAMINE,VDR
MAYTANSINOL,TUBB4A
MOCETINOSTAT,HDAC3
BENZOQUINONE,TDP1
DIAZEPAM,AR
RABEPRAZOLE,AR
ESCULETIN,ERAP1
CHEMBL:CHEMBL493863,POLB
CHEMBL:CHEMBL1086397,AKT1
BARASERTIB-HQPA,RET
GW441756X,FRK
CHEMBL:CHEMBL591370,GMNN
CHEMBL:CHEMBL429095,DRD1
CHEMBL:CHEMBL483633,SMN2
PHA-767491,PRKCQ
CHEMBL:CHEMBL76012,AR
EBSELEN,EHMT2
CHEMBL:CHEMBL222993,HSD17B10
MERCAPTOPURINE,ALDH1A1
ZALCITABINE,MAPK1
BIS(DIMETHYLAMINETHIOCARBONYL)MONOSULFIDE,HTT
CHEMBL:CHEMBL1466186,MAPT
BITHIONOLOXIDE,SUMO1
NECA,ADORA3
4-NONYLPHENOL,NFE2L2
SUNITINIB,KDR
VORINOSTAT,TUBB4A
[125I]LH,LHCGR
RIBOPRINE,FDPS
PITAVASTATIN CALCIUM,AR
CHEMBL:CHEMBL601994,ALDH1A1
GAMMA-LINOLENIC ACID,VDR
CIS-RESVERATROL,HSD17B10
CHEMBL:CHEMBL560532,CASP3
FENARIMOL,AR
U-0126,HSD17B10
CHEMBL:CHEMBL593366,NFE2L2
CHEMBL:CHEMBL328710,LMNA
CHEMBL:CHEMBL1520282,ACP1
EQUILIN,AR
CHEMBL:CHEMBL225257,ALDH1A1
TOLONIUM CHLORIDE,POLB
HEXACHLOROPHENE,KAT2A
CHEMBL:CHEMBL462430,GMNN
ROCURONIUM,ABCB1
TO-901317,AR
CHEMBL:CHEMBL591370,NFE2L2
DOXORUBICIN HYDROCHLORIDE,TP53
NANAOMYCIN,ATXN2
CHEMBL:CHEMBL538798,EHMT2
ERYTHROMYCIN,F2RL1
STICTIC ACID,USP1
ZEARALENONE,NR3C1
DACTOLISIB,LRRK2
CHEMBL:CHEMBL8328,ALOX15
RHAMNETIN,MAPK8
CYCLOHEXIMIDE,SMAD3
HAEMATOXYLIN,ALDH1A1
DIHYDROERGOTAMINE MESYLATE,MAPT
VORINOSTAT,ACE
CATECHIN,MAPT
CHEMBL:CHEMBL598695,GMNN
OXYBENZONE,ALDH1A1
APOMORPHINE,CYP2D6
RAPASTINEL,GRIN3B
CHEMBL:CHEMBL2172378,CTNNB1
